venueID,location,shadeornot,imgurl
001,sportscenter,1,https://rent.pe.ntu.edu.tw/udf/1653528788045604800.png
002,halfcourt,0,https://rent.pe.ntu.edu.tw/udf/1653530905083666600.png
003,freshman,0,https://rent.pe.ntu.edu.tw/udf/1664779143087713100.jpg
